cafeName,beverageScore,serviceScore,atmosphereScore
Charlotte,5,5,5
Charlotte,5,5,5
Charlotte,4,2,2
Charlotte,5,5,5
Charlotte,3,1,4
B.O.H.O Coffee&Bar,3,1,2
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,4,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,1,4,3
B.O.H.O Coffee&Bar,2,3,3
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,4,1,1
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,2,1
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,3,4,1
B.O.H.O Coffee&Bar,5,5,5
B.O.H.O Coffee&Bar,5,5,5
De revolutionibus ideæ,1,4,1
De revolutionibus ideæ,5,5,4
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,3
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,3,2,3
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,4
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,4
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,4,4,3
De revolutionibus ideæ,1,1,1
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,5,5,5
De revolutionibus ideæ,4,4,3
